company_name,website_url,location,has_website,has_business_email,has_contact_email,has_phone,has_whatsapp,has_contact_form,has_linkedin,has_founder,has_ceo,has_cto,decision_makers_count,technologies,has_mobile_app,has_ai_features,has_automation,has_live_chat,has_call_to_action,is_outdated,poor_ui_ux,missing_seo,weak_branding,lead_score,priority_level,priority_country
Bit Technologies Lahore- Software House - Website Development - SEO Services - IT Company,https://bittechnologies.co/,"Lahore, Pakistan",True,True,True,True,False,True,False,False,False,False,0.0,[],1,1,1,0,1,1,0,1,0,95.0,High,True
IT Genesis -- The Best Software House in Lahore | The Best Software Company in Lahore | Software House in Lahore,http://www.itgenesis.net/,"Lahore, Pakistan",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Java', 'PHP', 'React', 'TensorFlow', 'Rust', 'Go', 'AWS', 'Vue', 'WordPress', 'Docker', '.NET']",1,1,1,0,1,1,0,1,0,100.0,High,True
IT Genesis - - Software House in Lahore - - Software company in Lahore / Software house in Gulberg,https://itgenesis.net/,"Lahore, Pakistan",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Java', 'PHP', 'React', 'TensorFlow', 'Rust', 'Go', 'AWS', 'Vue', 'WordPress', 'Docker', '.NET']",1,1,1,0,1,1,0,1,0,100.0,High,True
Intelliscence - Software Development Company / Software House,https://www.intelliscence.com/,"Lahore, Pakistan",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Python', 'Java', 'PHP', 'Laravel', 'React', 'Azure', 'TensorFlow', 'Rust', 'Ruby', 'Go', 'AWS', 'Vue', 'WordPress', 'Docker']",1,1,1,0,1,1,0,1,0,100.0,High,True
GenXe Technologies,https://genxe.com.pk/,"Lahore, Pakistan",True,True,True,True,False,True,False,False,False,False,0.0,[],0,1,0,0,1,1,0,1,0,85.0,High,True
DevsSpace IT Services (Private) Limited,https://devsspace.com/,"Lahore, Pakistan",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'PHP', 'Node', 'React', 'Laravel', 'TensorFlow', 'Ruby', 'Go', 'Vue', 'WordPress', 'Docker']",1,1,1,0,1,0,0,0,0,100.0,High,True
REX Technologies | Software Company in Lahore,https://www.rextech.pk/,"Lahore, Pakistan",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Python', 'Java', 'Django', 'PHP', 'React', 'TensorFlow', 'Rust', 'Go', '.NET', 'Vue', 'WordPress', 'Docker']",1,1,1,0,1,0,0,1,0,100.0,High,True
First Idea Web Development (Pvt) Ltd. Domain Hosting Company | Web Development Software House,https://firstideaweb.com/,"Lahore, Pakistan",True,True,True,True,False,True,True,False,False,False,1.0,"['Angular', 'Java', 'PHP', 'Laravel', 'TensorFlow', 'Rust', 'Go', 'WordPress', 'Docker']",1,1,0,0,1,0,0,1,0,100.0,High,True
Bit Technologies - Website development Company / Software House Karachi,https://bittechnologies.co/,"Karachi, Pakistan",True,True,True,True,False,True,False,False,False,False,0.0,"['Angular', 'Python', 'Java', 'Django', 'PHP', 'Node', 'React', 'Laravel', 'TensorFlow', 'Rust', 'Ruby', 'Go', 'Vue', 'WordPress', 'Docker']",1,1,1,0,1,1,0,1,0,95.0,High,True
AIMVIZ Pvt. Ltd - Digital Media and Software Development Company,https://www.aimviz.com/,"Karachi, Pakistan",True,True,True,True,False,True,False,False,False,False,0.0,[],0,0,0,0,0,0,0,0,0,80.0,High,True
Contour Software (Pvt) Ltd.,https://contour-software.com/,"Karachi, Pakistan",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Java', 'PHP', 'TensorFlow', 'Rust', 'Go', 'Vue', 'WordPress', 'Docker']",1,1,0,0,1,0,1,1,1,100.0,High,True
Tafsol Technologies (Private) Limited,https://tafsol.ai/,"Karachi, Pakistan",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Java', 'React', 'TensorFlow', 'Rust', 'Go', 'AWS', 'Vue', 'WordPress', 'Docker', '.NET']",1,1,1,0,1,1,1,1,1,100.0,High,True
Digital Dividend - Development Center Karachi,https://digital-dividend.com/,"Karachi, Pakistan",True,True,True,True,False,True,False,False,False,False,0.0,[],1,1,1,0,1,1,1,1,1,95.0,High,True
Pixcile Technologies: Leading Software Development Company,https://www.pixciletechnologies.com/,"Karachi, Pakistan",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Python', 'Java', 'PHP', 'Node', 'React', 'Azure', 'TensorFlow', 'Rust', 'Go', '.NET', 'Vue', 'WordPress', 'Docker']",1,1,0,0,1,1,1,1,1,100.0,High,True
Jantrah Tech (Pvt) Ltd. - Software House in Islamabad,https://jantrah.com/,"Islamabad, Pakistan",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Django', 'Laravel', 'React', 'TensorFlow', 'Rust', 'Go', '.NET', 'Vue', 'WordPress', 'Docker']",1,1,1,0,1,1,1,0,1,100.0,High,True
CentigmaSoft | Software Company | Software Development Company in Islamabad | Mobile App | Software Outsourcing | Consultant,https://www.centigmasoft.com/,"Islamabad, Pakistan",True,True,True,True,False,True,False,False,False,False,1.0,"['Angular', 'Java', 'PHP', 'TensorFlow', 'Rust', 'Go', 'Vue', 'Docker', '.NET']",1,1,0,0,1,1,0,0,1,95.0,High,True
CDL | Software House in Islamabad/Pakistan | Best Software Tech Agency in Islamabad/Pakistan |,https://cdl.com.pk/,"Islamabad, Pakistan",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Java', 'Django', 'PHP', 'Laravel', 'React', 'TensorFlow', 'Rust', 'Go', 'AWS', 'Vue', 'Docker', '.NET']",1,1,1,1,1,1,1,1,1,100.0,High,True
Bit Technologies | Web development Company Pakistan,https://bittechnologies.co/,"Islamabad, Pakistan",True,True,True,True,False,True,False,False,False,False,0.0,"['Angular', 'Python', 'Java', 'Django', 'PHP', 'Node', 'React', 'Laravel', 'TensorFlow', 'Rust', 'Ruby', 'Go', 'Vue', 'WordPress', 'Docker']",1,1,1,0,1,1,0,1,0,95.0,High,True
M5HOST WEB DEVELOPMENT COMPANY ISLAMABAD,https://m5host.com/,"Islamabad, Pakistan",True,True,True,True,False,True,False,False,False,False,1.0,"['Angular', 'Java', 'PHP', 'TensorFlow', 'Go', 'AWS', 'Vue', 'WordPress', 'Docker']",1,1,0,1,1,0,0,1,1,100.0,High,True
UnitedSol,https://www.unitedsol.net/,"Islamabad, Pakistan",True,True,True,True,False,True,True,False,False,False,1.0,"['Angular', 'Java', 'PHP', 'TensorFlow', 'Rust', 'Go', '.NET', 'Vue', 'WordPress', 'Docker']",1,1,1,0,1,1,0,1,0,100.0,High,True
DIGITALSOFTS - Enterprise Software Company,https://www.digitalsofts.com/,"Faisalabad, Pakistan",True,True,True,True,False,True,True,False,False,False,1.0,"['Angular', 'Java', 'PHP', 'TensorFlow', 'Rust', 'Go', 'AWS', 'Vue', 'WordPress', 'Docker']",1,1,1,0,1,0,0,1,0,100.0,High,True
The Optimum Tech,http://www.theoptimumtech.com/,"Faisalabad, Pakistan",True,True,True,True,False,True,True,False,True,False,2.0,"['Angular', 'Python', 'Java', 'PHP', 'Node', 'React', 'Laravel', 'Azure', 'Rust', 'Ruby', 'TensorFlow', 'Go', 'AWS', 'Vue', 'WordPress', 'Docker', '.NET']",1,1,1,0,1,0,0,1,0,100.0,High,True
TechloSet Solutions,http://techloset.com/,"Faisalabad, Pakistan",True,True,True,True,True,True,True,False,False,False,0.0,"['Angular', 'React', 'TensorFlow', 'Go', 'Vue', 'Docker']",1,1,1,0,0,0,1,1,1,100.0,High,True
Attari Developers,https://attariwebdevelopers.com/,"Faisalabad, Pakistan",True,True,True,True,True,True,True,False,False,False,1.0,"['Angular', 'Java', 'PHP', 'TensorFlow', 'Rust', 'Go', 'Vue', 'WordPress', 'Docker']",1,1,1,0,1,1,0,1,1,100.0,High,True
IT Empire Software House Pakistan,https://www.itempire.net/,"Faisalabad, Pakistan",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Java', 'TensorFlow', 'Go', 'Vue', 'Docker', '.NET']",1,1,1,0,1,0,0,0,0,100.0,High,True
WebExpert Soft | Web Development Company | Web Development Services in Faisalabad | Website Design & Development,https://webexpertsofts.com/,"Faisalabad, Pakistan",True,True,True,True,False,True,False,False,False,False,1.0,"['Angular', 'Java', 'PHP', 'TensorFlow', 'Rust', 'Go', '.NET', 'Vue', 'WordPress', 'Docker']",1,1,0,0,1,1,1,1,1,95.0,High,True
SMI SOFT Technologies,http://www.smisofttech.com/,"Faisalabad, Pakistan",True,True,True,True,True,True,True,False,False,False,1.0,"['Angular', 'Java', 'PHP', 'TensorFlow', 'Rust', 'Go', 'Vue', 'WordPress', 'Docker']",1,1,0,0,1,1,0,1,0,100.0,High,True
SAR ZONE (Software House In Faisalabad and Automation Center),http://www.sarzone.com/,"Faisalabad, Pakistan",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Django', 'TensorFlow', 'Rust', 'Go', 'Vue', 'Docker', '.NET']",1,1,1,0,1,1,1,1,1,100.0,High,True
"Gligx Web Design and Software Development Company Dubai, UAE",https://www.gligx.com/,"Dubai, UAE",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Python', 'Java', 'PHP', 'Node', 'React', 'Laravel', 'TensorFlow', 'Rust', 'Go', 'AWS', 'Vue', 'WordPress', 'Docker']",1,1,1,0,1,0,1,0,1,100.0,High,True
"Hidden Brains : AI Software Development Dubai, UAE",https://www.hiddenbrains.ae/,"Dubai, UAE",True,True,True,True,False,True,False,False,False,False,0.0,[],0,0,0,0,0,0,0,0,0,80.0,High,True
Meridian IT Solutions | Website Design Company in Dubai,https://www.meridianuae.com/,"Dubai, UAE",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Java', 'PHP', 'TensorFlow', 'Rust', 'Go', 'Vue', 'WordPress', 'Docker']",1,1,1,0,0,0,0,1,0,100.0,High,True
TechGropse Dubai Mobile App Development Company | Hire Mobile App Developers in UAE | IOS Android & Custom App Development,https://www.techgropse.ae/app-development-dubai,"Dubai, UAE",True,True,True,True,False,True,True,False,False,False,1.0,"['Rust', 'AWS', 'Docker', 'Java', 'Laravel', 'Ruby', 'WordPress', 'Angular', 'Python', 'PHP', 'Node', 'Vue', 'Django', 'Kubernetes', 'React', 'TensorFlow', 'Azure', 'Go', '.NET']",1,1,1,0,1,1,1,0,1,100.0,High,True
"UAE App Developers - AI Mobile App & Software Development Company in Dubai, UAE",https://www.uaeappdevelopers.com/?utm_source=Organicseo&utm_medium=mainGBP,"Dubai, UAE",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Python', 'Java', 'Kubernetes', 'PHP', 'Node', 'React', 'Azure', 'TensorFlow', 'Rust', 'Go', 'AWS', 'Vue', 'WordPress', 'Docker', '.NET']",1,1,1,0,1,1,1,0,1,100.0,High,True
"Think Future Technologies | Software Development and Testing Company in Dubai, UAE",http://www.tftus.com/,"Dubai, UAE",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'Python', 'Java', 'Django', 'Kubernetes', 'PHP', 'Node', 'React', 'Azure', 'TensorFlow', 'Ruby', 'Go', 'AWS', 'Vue', 'WordPress', 'Docker', '.NET']",1,1,1,0,1,0,0,1,0,100.0,High,True
"DXB APPS (DX Technologies LLC) | No 1 App Development Company in Dubai UAE | Hire Android, iOS & WEB Developers in Dubai, UAE",https://dxbapps.com/,"Dubai, UAE",True,True,True,True,False,True,True,False,False,False,1.0,"['Angular', 'Python', 'Java', 'Kubernetes', 'PHP', 'Node', 'React', 'Azure', 'TensorFlow', 'Rust', 'Go', 'AWS', 'Vue', 'Docker', '.NET']",1,1,1,0,1,1,0,1,0,100.0,High,True
FACTS ERP Software House L.L.C,https://facts.ae/?utm_source=CMBlisting&utm_medium=organic,"Dubai, UAE",True,True,True,True,False,True,True,False,False,False,1.0,"['Angular', 'Java', 'PHP', 'Node', 'React', 'TensorFlow', 'Rust', 'Go', 'AWS', 'Vue', 'WordPress', 'Docker', '.NET']",1,1,1,0,1,0,1,1,1,100.0,High,True
"Centre Source | Software Company in Abu Dhabi | App Development in Abu Dhabi, UAE",http://centresource.in/,"Abu Dhabi, UAE",True,True,True,True,False,True,True,True,False,False,2.0,"['Angular', 'Java', 'PHP', 'TensorFlow', 'Rust', 'Go', 'AWS', 'Vue', 'WordPress', 'Docker']",1,1,1,0,1,1,1,0,1,100.0,High,True
Apptunix Abu Dhabi - AI Mobile App Development Company in UAE,https://www.apptunix.com/mobile-app-development-company-abu-dhabi/,"Abu Dhabi, UAE",True,True,True,True,False,True,False,False,False,False,0.0,[],0,0,0,0,0,0,0,0,0,80.0,High,True
"Sysberries - IT, Digital Marketing & Software development Company Abudhabi, UAE",https://www.sysberries.com/,"Abu Dhabi, UAE",True,True,True,True,False,True,True,False,False,False,0.0,"['Angular', 'TensorFlow', 'Azure', 'Rust', 'Go', 'Vue', '.NET']",1,1,1,0,1,1,1,0,1,100.0,High,True
Tranetech Software Solution LLC,https://tranetech.com/,"Abu Dhabi, UAE",True,True,True,True,False,True,True,False,False,False,1.0,"['Angular', 'Java', 'PHP', 'TensorFlow', 'Rust', 'Go', '.NET', 'Vue', 'WordPress', 'Docker']",1,1,1,0,0,0,0,1,0,100.0,High,True
Swift IT Company UAE,https://swiftit.ae/,"Abu Dhabi, UAE",True,True,True,True,False,True,True,False,False,False,1.0,"['Angular', 'Java', 'PHP', 'React', 'TensorFlow', 'Rust', 'Go', 'Vue', 'WordPress', 'Docker']",1,1,1,0,1,1,1,0,1,100.0,High,True
